"","latitude","longitude","zipcode","type"
"1",40.715712734751,-73.9006463107845,11378,"Street Condition"
"2",40.6964698350655,-73.9234124155273,11221,"Illegal Parking"
"3",40.6390074748483,-73.9118522302106,11236,"Blocked Driveway"
"4",40.6247215342806,-74.0135936349631,11228,"Blocked Driveway"
"5",40.7337930280072,-73.8897315810889,11378,"Illegal Parking"
"6",40.7723958338995,-73.9518481783623,10075,"Illegal Parking"
"7",40.5396432759553,-74.1442297485671,10308,"Illegal Parking"
"8",40.8284659031661,-73.8493689763785,10472,"Blocked Driveway"
"9",40.6775558558482,-73.8321122398238,11417,"Blocked Driveway"
"10",40.703996405719,-73.8955298857895,11385,"Blocked Driveway"
"11",40.6995773675194,-73.8259869059166,11418,"Blocked Driveway"
"12",40.6808099457049,-73.8202907203998,11420,"Blocked Driveway"
"13",40.8486398688411,-73.9116895223363,10453,"Street Condition"
"14",40.5731818578552,-73.9927578498513,11224,"Illegal Parking"
"15",40.7879465197811,-73.8418231694634,11356,"Blocked Driveway"
"16",40.851917893208,-73.9124858530506,10453,"Blocked Driveway"
"17",40.744085747656,-73.7781752167208,11365,"Illegal Parking"
"18",40.7243916697203,-73.8660030832755,11374,"Illegal Parking"
"19",40.7545532447932,-73.9774001064087,10017,"Illegal Parking"
"20",40.8600365484629,-73.8637056787011,10467,"Blocked Driveway"
"21",40.6151269234037,-74.0020520191331,11214,"Illegal Parking"
"22",40.6742924614272,-73.8503522404941,11417,"Illegal Parking"
"23",40.7232842365091,-73.7332937312356,11428,"Sewer"
"24",40.6612351393866,-73.9972349172504,11232,"HEAT/HOT WATER"
"25",40.767855174154,-73.8913996846617,11370,"HEAT/HOT WATER"
"26",40.7277386027667,-73.8111086269757,11365,"Blocked Driveway"
"27",40.6704084854966,-73.9276981327974,11213,"UNSANITARY CONDITION"
"28",40.6704437398684,-73.9276934930322,11213,"PAINT/PLASTER"
"29",40.5937347964421,-73.9680071998997,11223,"Illegal Parking"
"30",40.6965998854856,-73.8063975443399,11435,"Illegal Parking"
"31",40.7211573541563,-73.9936740797172,10002,"Illegal Parking"
"32",40.8135201069189,-73.9177462784044,10455,"Blocked Driveway"
"33",40.5973624668529,-73.9806142733951,11223,"Blocked Driveway"
"34",40.5963097353974,-73.979579161391,11223,"Blocked Driveway"
"35",40.7211349484981,-73.9937009736111,10002,"Illegal Parking"
"36",40.639314823288,-73.9708715275068,11218,"HEAT/HOT WATER"
"37",40.7887721732717,-73.9704871773502,10024,"PLUMBING"
"38",40.8250185562402,-73.8774075484971,10472,"HEAT/HOT WATER"
"39",40.7887586414399,-73.9705344801003,10024,"PLUMBING"
"40",40.7442382190649,-73.9069450655714,11377,"HEAT/HOT WATER"
"41",40.7211690991397,-73.9936831745144,10002,"Illegal Parking"
"42",40.7160250824037,-74.0110257509671,10007,"Illegal Parking"
"43",40.8205658255442,-73.9561491211332,10031,"UNSANITARY CONDITION"
"44",40.7887567828497,-73.9705159916187,10024,"PLUMBING"
"45",40.6269930830842,-74.0216760497195,11209,"HEAT/HOT WATER"
"46",40.8422808756848,-73.8864810530764,10460,"Sewer"
"47",40.6964832637042,-73.9233907586745,11221,"Illegal Parking"
"48",40.6352674277673,-74.0321453206105,11209,"Illegal Parking"
"49",40.8566378766717,-73.9310236725275,10040,"HEAT/HOT WATER"
"50",40.6749850638177,-73.9294311235576,11213,"PLUMBING"
"51",40.8105317990138,-73.9620302128876,10027,"Street Condition"
"52",40.8451907529561,-73.9141501980178,10452,"Street Condition"
"53",40.6508571126131,-73.9322451808337,11203,"HEAT/HOT WATER"
"54",40.6886236258638,-73.9053045853671,11207,"Sewer"
"55",40.6804673049733,-73.9613378759197,11238,"Blocked Driveway"
"56",40.7594327664972,-73.8254876951709,11355,"Blocked Driveway"
"57",40.6358664127497,-73.9662530096021,11218,"Illegal Parking"
"58",40.7492984067668,-73.8277297121597,11355,"Illegal Parking"
"59",40.8132253324657,-73.8861775595822,10474,"Blocked Driveway"
"60",40.8581459761638,-73.9055636829336,10453,"HEAT/HOT WATER"
"61",40.7843859287898,-73.9713104510645,10024,"UNSANITARY CONDITION"
"62",40.7020508176502,-73.8905610464935,11385,"UNSANITARY CONDITION"
"63",40.6125041565863,-74.0083652393761,11228,"Noise"
"64",40.8581279795416,-73.9055697969688,10453,"HEAT/HOT WATER"
"65",40.714392354289,-73.8457323580118,11375,"Street Condition"
"66",40.694957230159,-73.7802366818224,11433,"Blocked Driveway"
"67",40.5843250881998,-73.9527121377132,11235,"HEAT/HOT WATER"
"68",40.762679754372,-73.8182477636911,11354,"HEAT/HOT WATER"
"69",40.6723010267257,-73.9567968984589,11216,"Blocked Driveway"
"70",40.7332812266381,-73.8858942124358,11373,"Illegal Parking"
"71",40.8439363616179,-73.9339525079596,10033,"HEAT/HOT WATER"
"72",40.7981169933765,-73.9483079925589,10026,"Noise"
"73",40.5843034159616,-73.9527664474376,11235,"HEAT/HOT WATER"
"74",40.6977932709289,-73.898275717948,11385,"Illegal Parking"
"75",40.6951079552239,-73.943308810188,11206,"Illegal Parking"
"76",40.6899422971437,-73.8678101233456,11421,"Blocked Driveway"
"77",40.6393696506779,-73.9798764966179,11218,"Blocked Driveway"
"78",40.6060202072979,-73.9754691161341,11223,"Illegal Parking"
"79",40.8906224082494,-73.8622791091366,10466,"Blocked Driveway"
"80",40.6376269561493,-73.9081250663908,11236,"Blocked Driveway"
"81",40.6660289032225,-73.8943376832035,11207,"HEAT/HOT WATER"
"82",40.8068794460759,-73.9207849240202,10454,"UNSANITARY CONDITION"
"83",40.80686932063,-73.9207824346199,10454,"UNSANITARY CONDITION"
"84",40.8490318215291,-73.8659766506661,10462,"Blocked Driveway"
"85",40.6911760798383,-73.8549876759965,11421,"Blocked Driveway"
"86",40.757422020429,-73.9191659796853,11103,"Noise"
"87",40.8131774960884,-73.8861590144827,10474,"Blocked Driveway"
"88",40.7495947583071,-73.877677683088,11372,"Blocked Driveway"
"89",40.6728321542166,-73.923556170363,11233,"Blocked Driveway"
"90",40.7960745722745,-73.9730344094223,10025,"Noise"
"91",40.5827630533234,-74.1303966152794,10306,"Street Condition"
"92",40.6901893214011,-73.7741745954039,11434,"Sewer"
"93",40.7050255142094,-73.9137306570793,11385,"HEAT/HOT WATER"
"94",40.6484160331005,-73.9747753716263,11218,"PLUMBING"
"95",40.6484335907969,-73.9747492887563,11218,"PAINT/PLASTER"
"96",40.6484199312668,-73.974763415486,11218,"PAINT/PLASTER"
"97",40.6484018977066,-73.9747703028796,11218,"UNSANITARY CONDITION"
"98",40.7659605385591,-73.9232437732947,11102,"Noise"
"99",40.8876150814996,-73.9041240725452,10463,"Blocked Driveway"
"100",40.645977010949,-73.9748714012044,11218,"Illegal Parking"
"101",40.6323491525965,-74.1652398421177,10303,"Blocked Driveway"
"102",40.6369044491424,-74.1394769399353,10302,"Street Condition"
"103",40.6368871735852,-74.1394887489035,10302,"Street Condition"
"104",40.7242996431188,-74.0014716435061,10012,"Noise"
"105",40.6834963328262,-73.8692643079068,11208,"Illegal Parking"
"106",40.8514704167387,-73.8822279302903,10460,"HEAT/HOT WATER"
"107",40.650047319034,-73.9494943276542,11226,"HEAT/HOT WATER"
"108",40.6836105327996,-73.8693013722438,11208,"Illegal Parking"
"109",40.7661223499101,-73.9231492726366,11102,"Noise"
"110",40.6853361539445,-73.8697250165068,11208,"Illegal Parking"
"111",40.6315001394776,-74.1215946673649,10310,"Sewer"
"112",40.819889857195,-73.9552261113309,10031,"HEAT/HOT WATER"
"113",40.830666496825,-73.9449212259275,10031,"HEAT/HOT WATER"
"114",40.6006557719365,-73.9927287009226,11214,"Illegal Parking"
"115",40.6131909813319,-73.9748846977085,11204,"Illegal Parking"
"116",40.765356419499,-73.907210343451,11103,"Blocked Driveway"
"117",40.8199028803079,-73.9552194697563,10031,"HEAT/HOT WATER"
"118",40.744097751401,-73.8719786456053,11373,"Blocked Driveway"
"119",40.6856347150563,-73.8651945725815,11421,"Illegal Parking"
